Year	Month	Day	ARROW_obs
1929	10	6	24123
1929	10	7	16450
1929	10	8	16690
1929	10	9	16501
1929	10	10	13929
1929	10	11	15234
1929	10	12	14871
1929	10	13	12927
1929	10	14	13015
1929	10	15	16318
1929	10	16	22640
1929	10	17	27413
1929	10	18	23338
1929	10	19	20374
1929	10	20	18560
1929	10	21	17518
1929	10	22	15395
1929	10	23	13913
1929	10	24	14720
1929	10	25	13287
1929	10	26	12386
1929	10	27	13426
1929	10	28	14010
1929	10	29	11497
1929	10	30	9750
1929	10	31	12073
1929	11	1	13034
1929	11	2	10210
1929	11	3	7871
1929	11	4	8419
1929	11	5	10853
1929	11	6	11492
1929	11	7	9589
1929	11	8	8442
1929	11	9	9162
1929	11	10	10213
1929	11	11	9174
1929	11	12	8780
1929	11	13	8863
1929	11	14	8358
1929	11	15	10212
1929	11	16	12043
1929	11	17	10276
1929	11	18	8603
1929	11	19	9152
1929	11	20	6738
1929	11	21	9193
1929	11	22	9257
1929	11	23	7189
1929	11	24	5839
1929	11	25	8769
1929	11	26	8955
1929	11	27	8822
1929	11	28	9096
1929	11	29	8660
1929	11	30	11081
1929	12	1	10608
1929	12	2	8124
1929	12	3	7722
1929	12	4	8683
1929	12	5	6291
1929	12	6	7404
1929	12	7	7771
1929	12	8	8114
1929	12	9	6882
1929	12	10	6306
1929	12	11	4222
1929	12	12	5941
1929	12	13	6968
1929	12	14	5813
1929	12	15	8080
1929	12	16	9337
1929	12	17	6033
1929	12	18	6460
1929	12	19	7561
1929	12	20	7777
1929	12	21	9394
1929	12	22	12704
1929	12	23	11513
1929	12	24	8107
1929	12	25	8905
1929	12	26	10724
1929	12	27	9699
1929	12	28	8342
1929	12	29	9117
1929	12	30	9602
1929	12	31	9752
1930	1	1	9108
1930	1	2	7985
1930	1	3	8243
1930	1	4	8236
1930	1	5	5655
1930	1	6	3937
1930	1	7	3958
1930	1	8	4031
1930	1	9	5336
1930	1	10	6387
1930	1	11	5735
