year	month	day	ARROW_sim
1979	8	15	1099.5732
1979	8	16	1205.7076
1979	8	17	1471.9056
1979	8	18	1713.4073
1979	8	19	2632.8872
1979	8	20	3981.2146
1979	8	21	4994.769
1979	8	22	6217.9512
1979	8	23	6502.2139
1979	8	24	5853.6611
1979	8	25	5025.8057
1979	8	26	3711.6577
1979	8	27	2581.9573
1979	8	28	1918.4386
1979	8	29	1910.2292
1979	8	30	2565.8384
1979	8	31	3286.0562
1979	9	1	3894.6379
1979	9	2	4035.9734
1979	9	3	4147.8857
1979	9	4	5949.019
1979	9	5	10606.815
1979	9	6	17071.643
1979	9	7	21790.551
1979	9	8	24193.602
1979	9	9	26439.191
1979	9	10	29529.068
1979	9	11	33748.188
1979	9	12	37174.793
1979	9	13	38608.336
1979	9	14	38946.227
1979	9	15	35492.313
1979	9	16	26986.924
1979	9	17	17785.059
1979	9	18	10978.422
1979	9	19	6750.0508
1979	9	20	4422.2295
1979	9	21	3184.3596
1979	9	22	2538.9802
1979	9	23	2486.0071
1979	9	24	3199.1985
1979	9	25	4187.5742
1979	9	26	5039.3823
1979	9	27	5361.562
1979	9	28	4824.3882
1979	9	29	4584.0474
1979	9	30	7224.7798
1979	10	1	13712.299
1979	10	2	22066.65
1979	10	3	27732.982
1979	10	4	28666.908
1979	10	5	26881.016
1979	10	6	23483.535
1979	10	7	18812.047
1979	10	8	13889.98
1979	10	9	10456.085
1979	10	10	8781.8076
1979	10	11	7955.4624
1979	10	12	7167.1118
1979	10	13	6163.6533
1979	10	14	5072.0449
1979	10	15	4233.0059
1979	10	16	4483.25
1979	10	17	6086.6182
1979	10	18	8549.0957
1979	10	19	10796.066
1979	10	20	11611.736
1979	10	21	11290.959
1979	10	22	9834.665
1979	10	23	7527.5615
1979	10	24	5765.0313
1979	10	25	5152.1768
1979	10	26	5739.1064
1979	10	27	7974.563
1979	10	28	12618.618
1979	10	29	18095.869
1979	10	30	22188.926
1979	10	31	23658.535
1979	11	1	21830.123
1979	11	2	17286.881
1979	11	3	11761.903
1979	11	4	7213.8018
1979	11	5	4447.5645
1979	11	6	3043.4885
1979	11	7	2323.0166
1979	11	8	1889.8356
1979	11	9	1534.457
1979	11	10	1223.8821
1979	11	11	969.60126
1979	11	12	799.63336
1979	11	13	718.48657
1979	11	14	694.85431
1979	11	15	690.89532
1979	11	16	686.16437
1979	11	17	684.73566
1979	11	18	689.21497
1979	11	19	715.78516
1979	11	20	736.72186
1979	11	21	736.76367
1979	11	22	753.52301
1979	11	23	760.01178
1979	11	24	736.9353
1979	11	25	716.03351
1979	11	26	702.37018
1979	11	27	692.04919
1979	11	28	687.03882
1979	11	29	684.90002
1979	11	30	682.97772
1979	12	1	681.98889
1979	12	2	681.33295
1979	12	3	680.0097
1979	12	4	684.43518
1979	12	5	797.93823
1979	12	6	1285.6018
1979	12	7	1910.3899
1979	12	8	2394.2561
1979	12	9	2396.8708
1979	12	10	2300.8147
1979	12	11	2916.1946
1979	12	12	3447.3
1979	12	13	3189.2605
1979	12	14	2642.8794
1979	12	15	2165.8447
1979	12	16	1795.777
1979	12	17	1461.9702
1979	12	18	1141.8199
1979	12	19	976.02808
1979	12	20	927.26166
1979	12	21	1059.4225
1979	12	22	1206.4962
1979	12	23	1270.6785
1979	12	24	1270.8217
1979	12	25	1224.0023
1979	12	26	1188.3732
1979	12	27	1070.5977
1979	12	28	925.35095
1979	12	29	822.05029
1979	12	30	762.39252
1979	12	31	733.27484
1980	1	1	717.63666
1980	1	2	709.10284
1980	1	3	701.92963
1980	1	4	697.21503
1980	1	5	691.25018
1980	1	6	686.14838
1980	1	7	684.3158
1980	1	8	683.97455
1980	1	9	683.67267
1980	1	10	683.31903
1980	1	11	682.97388
1980	1	12	682.80908
1980	1	13	686.3623
1980	1	14	688.43378
1980	1	15	686.00275
1980	1	16	684.14337
1980	1	17	682.45465
1980	1	18	681.38153
1980	1	19	680.78845
1980	1	20	680.44293
1980	1	21	680.13843
1980	1	22	679.83893
1980	1	23	679.54358
1980	1	24	679.08661
1980	1	25	678.76154
1980	1	26	678.48126
1980	1	27	678.2066
1980	1	28	677.93738
1980	1	29	677.67255
1980	1	30	677.41321
1980	1	31	677.16058
1980	2	1	676.91437
1980	2	2	676.67444
1980	2	3	676.43799
1980	2	4	676.19843
1980	2	5	675.95142
1980	2	6	675.69275
1980	2	7	675.42249
1980	2	8	675.18555
1980	2	9	675.20856
1980	2	10	675.04022
1980	2	11	674.57184
1980	2	12	674.20618
1980	2	13	673.85022
1980	2	14	673.55988
1980	2	15	673.31281
1980	2	16	673.09424
1980	2	17	672.89282
1980	2	18	672.70752
1980	2	19	672.58191
1980	2	20	673.78943
1980	2	21	682.3078
1980	2	22	696.16589
1980	2	23	698.79681
1980	2	24	690.6452
1980	2	25	683.34918
1980	2	26	677.73718
1980	2	27	675.89484
1980	2	28	715.24359
1980	2	29	849.21729
1980	3	1	1008.4119
1980	3	2	1103.9928
1980	3	3	1170.5275
1980	3	4	1298.1908
1980	3	5	1432.5167
1980	3	6	1471.5632
1980	3	7	1409.0555
1980	3	8	1229.7456
1980	3	9	1013.3214
1980	3	10	859.62762
1980	3	11	809.80865
1980	3	12	1011.1967
1980	3	13	1283.1725
1980	3	14	1277.4194
1980	3	15	1149.1093
1980	3	16	1076.563
1980	3	17	967.88489
1980	3	18	841.1178
1980	3	19	801.03918
1980	3	20	890.47614
1980	3	21	974.33374
1980	3	22	982.05688
1980	3	23	1049.2441
1980	3	24	1170.2653
1980	3	25	1283.6204
1980	3	26	1289.3761
1980	3	27	1243.3705
1980	3	28	1265.408
1980	3	29	1302.3199
1980	3	30	1288.6766
1980	3	31	1353.9507
1980	4	1	1434.7573
1980	4	2	1496.6965
1980	4	3	1791.549
1980	4	4	2237.2383
1980	4	5	2526.7974
1980	4	6	2710.1895
1980	4	7	2776.897
1980	4	8	2876.2896
1980	4	9	3040.8704
1980	4	10	2870.5513
1980	4	11	2626.761
1980	4	12	2781.0867
1980	4	13	3373.8577
1980	4	14	4457.9482
1980	4	15	5900.4312
1980	4	16	7623.2847
1980	4	17	9991.0283
